id,brand query,name query,error,stack trace
88,Diptyque,Eau de Lierre (EdT),list index out of range,
90,Acqua di Parma,Colonia Leather (EdP),list index out of range,
100,Phaedon,Tea & Bergamot,list index out of range,
134,Xerjoff,XJ 1861 Naxos,list index out of range,
160,Marc Gebauer / Azya,Jalua,list index out of range,
184,Jovoy Paris,Pavillon Rouge,list index out of range,
185,Zoologist Perfumes,Rhinoceros (2020),list index out of range,
207,Xerjoff,XJ 1861 Decas,list index out of range,"Traceback (most recent call last):
  File ""/home/till/perfumes/collect_missing_data.py"", line 243, in <module>
    data = _download_data(marke, name)
  File ""/home/till/perfumes/collect_missing_data.py"", line 153, in _download_data
    overview_url = livesearch_doc.xpath(
                   ~~~~~~~~~~~~~~~~~~~~~
        ""//div[contains(@class, 'ls-perfume-item')]//a/@href""
        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
    )[0]
    ~^^^
IndexError: list index out of range
"
214,Diptyque,Oud Palao (EDP),list index out of range,"Traceback (most recent call last):
  File ""/home/till/perfumes/collect_missing_data.py"", line 243, in <module>
    data = _download_data(marke, name)
  File ""/home/till/perfumes/collect_missing_data.py"", line 153, in _download_data
    overview_url = livesearch_doc.xpath(
                   ~~~~~~~~~~~~~~~~~~~~~
        ""//div[contains(@class, 'ls-perfume-item')]//a/@href""
        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
    )[0]
    ~^^^
IndexError: list index out of range
"
228,Sisley,Le Parfum (Hair Rituel),list index out of range,"Traceback (most recent call last):
  File ""/home/till/perfumes/collect_missing_data.py"", line 243, in <module>
    data = _download_data(marke, name)
  File ""/home/till/perfumes/collect_missing_data.py"", line 153, in _download_data
    overview_url = livesearch_doc.xpath(
                   ~~~~~~~~~~~~~~~~~~~~~
        ""//div[contains(@class, 'ls-perfume-item')]//a/@href""
        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
    )[0]
    ~^^^
IndexError: list index out of range
"
